KodLan,NamSek,Rank,Jenjang,SubJenjang,Status,PD,Kec,KotKab,Kota,Provinsi,Alamat
20102557, SMK BUNDA KANDUNG,,SMK,SMK,Swasta,0,Pasar Minggu,Kota,JAKARTA SELATAN 2,DKI Jakarta,
10000063,2MADISON ART GALLERY & CAFE,,Umum,Umum,Pelatihan,0,Mampang Prapatan,Kota,JAKARTA SELATAN 2,DKI Jakarta,
ERLGRP007,AKBAR G W,,Peror,Peror,Peror,0,Ciracas,Kota,JAKARTA TIMUR 1,DKI Jakarta,
19,AKBAR G W,,Peror,Peror,Peror,,Ciracas,Kota,JAKARTA TIMUR 1,DKI Jakarta,
69982759,MIS AL HIDAYAH,,SD,MIS,Swasta,107,Tanah sareal,Kota,BOGOR,Jawa Barat,
69976194,MIS AL MANAR SUKAMAKMUR,,SD,MIS,Swasta,76,Sukamakmur,Kab,BOGOR 2,Jawa Barat,
69956128,MIS AL SAFARA,,SD,MIS,Swasta,0,Gunung Putri,Kab,BOGOR 1,Jawa Barat,
69982754,MIS AL- HABIBAH,,SD,MIS,Swasta,36,Tanjung Sari,Kab,BOGOR 2,Jawa Barat,
69982911,MIS AL-HIKAM GOBANG,,SD,MIS,Swasta,0,Rumpin,Kab,BOGOR 2,Jawa Barat,
69976196,MIS AL-JUHDIYYAH,,SD,MIS,Swasta,98,Ciseeng,Kab,BOGOR 2,Jawa Barat,
69976200,MIS AL-QOLAM,,SD,MIS,Swasta,0,Cibungbulang,Kab,BOGOR 2,Jawa Barat,
10000064,SD AL-WILDAN ISLAMIC SCHOOL 16,,SD,SDS,Swasta,115,Ciledug,Kota,TANGERANG 1,Banten," Jl. Raden Fatah, RT.001/RW.006, Sudimara Bar., Kec. Ciledug, Kota Tangerang, Banten 15151"
69899632,MIS AN NUR,,SD,MIS,Swasta,110,Pamijahan,Kab,BOGOR 2,Jawa Barat,
ERLGRP001,MIS AN. HARDIAN T.P,,Peror,Peror,Peror,0,Ciracas,Kota,JAKARTA TIMUR 1,DKI Jakarta,
13,MIS AN. HARDIAN T.P,,SD,MIS,Swasta,,Ciracas,Kota,JAKARTA TIMUR 1,DKI Jakarta,
69956190,MIS ANDINA,,SD,MIS,Swasta,87,Bogor Timur,Kota,BOGOR,Jawa Barat,
69976198,MIS  ANNUR CIKAHURIPAN,,SD,MIS,Swasta,391,Klapanunggal,Kab,BOGOR 2,Jawa Barat,
69956130,MIS  AR-RAHMAN,,SD,MIS,Swasta,317,Gunung sindur,Kab,BOGOR 2,Jawa Barat,
